Date,Adj Close,Close,High,Low,Open,Volume,Ticker
02-01-2014,17.23,19.75,19.89,19.72,19.85,234684800.00,AAPL
03-01-2014,16.86,19.32,19.77,19.30,19.75,392467600.00,AAPL
06-01-2014,16.95,19.43,19.53,19.06,19.19,412610800.00,AAPL
07-01-2014,16.83,19.29,19.50,19.21,19.44,317209200.00,AAPL
08-01-2014,16.93,19.41,19.48,19.24,19.24,258529600.00,AAPL
09-01-2014,16.72,19.16,19.53,19.12,19.53,279148800.00,AAPL
10-01-2014,16.61,19.03,19.31,18.97,19.28,304976000.00,AAPL
13-01-2014,16.69,19.13,19.38,18.92,18.93,378492800.00,AAPL
14-01-2014,17.02,19.51,19.53,19.20,19.22,332561600.00,AAPL
15-01-2014,17.37,19.91,20.01,19.70,19.77,391638800.00,AAPL
16-01-2014,17.27,19.79,19.89,19.70,19.82,229278000.00,AAPL
17-01-2014,16.85,19.31,19.72,19.28,19.70,426739600.00,AAPL
21-01-2014,17.11,19.61,19.65,19.30,19.32,328526800.00,AAPL
22-01-2014,17.18,19.70,19.90,19.56,19.68,379985200.00,AAPL
23-01-2014,17.33,19.86,19.88,19.46,19.64,403239200.00,AAPL
24-01-2014,17.01,19.50,19.84,19.46,19.79,429354800.00,AAPL
27-01-2014,17.15,19.66,19.81,19.49,19.65,554878800.00,AAPL
28-01-2014,15.78,18.09,18.39,17.93,18.17,1065523200.00,AAPL
29-01-2014,15.60,17.88,18.12,17.81,18.00,502810000.00,AAPL
30-01-2014,15.57,17.85,18.09,17.74,17.95,678501600.00,AAPL
31-01-2014,15.60,17.88,17.91,17.63,17.68,464797200.00,AAPL
03-02-2014,15.63,17.91,18.13,17.83,17.95,401464000.00,AAPL
04-02-2014,15.85,18.17,18.19,17.96,18.07,376681200.00,AAPL
05-02-2014,15.97,18.31,18.40,18.08,18.09,328344800.00,AAPL
06-02-2014,16.06,18.30,18.34,18.14,18.22,257765200.00,AAPL
07-02-2014,16.29,18.56,18.68,18.48,18.62,370280400.00,AAPL
10-02-2014,16.58,18.89,19.00,18.50,18.52,345559200.00,AAPL
11-02-2014,16.80,19.14,19.21,18.91,18.95,282256800.00,AAPL
